bank_id,reference_no,amount,narration,value_date,value_datetime,txn_mode
BNK000070,TXN376773058174,97751.54,Chatterjee Grocers & Co,2026-07-18,2026-07-18 02:31:44,UPI
BNK000041,TXN919318090189,193924.32,Pillai Handlooms Industries,2026-07-13,2026-07-13 20:27:33,IMPS
BNK000017,TXN304193882632,6415.92,Bose & Co,2026-06-18,2026-06-18 05:46:52,UPI
BNK000018,TXN192147365352,69952.51,Rana Brothers,2026-06-02,2026-06-02 04:26:27,RTGS
BNK000037,TXN362985433945,242314.53,Kulkarni Brothers,2026-07-13,2026-07-13 02:36:07,NEFT
BNK000104,TXN233459268687,45030.14,Nair Motors & Sons,2026-07-10,2026-07-10 18:42:19,RTGS
BNK000056,TXN0534133,77383.64,Krishna Apparels Industries,2026-06-05,2026-06-05 07:36:28,UPI
BNK000125,TXN771915064761,119525.67,Jai Electronics Enterprises,2026-06-24,2026-06-24 12:38:57,IMPS
BNK000098,TXN421522814044,106935.07,Malhotra & Sons Pvt Ltd,2026-07-21,2026-07-21 17:30:32,IMPS
BNK000135,TXN392416664840,231086.88,Chatterjee Timber Pvt Ltd,2026-06-25,2026-06-25 22:09:09,NEFT
BNK000031,TXN111571247952,86136.67,Kulkarni Packaging Trading Co,2026-06-18,2026-06-18 12:35:05,NEFT
BNK000050,TXN039728558277,15305.31,Classic Enterprises & Sons,2026-07-12,2026-07-12 22:33:39,UPI
BNK000069,720351653957,155765.22,Kapoor & Sons,2026-07-11,2026-07-11 17:01:30,NEFT
BNK000100,TXN323246338487,53088.81,Reddy Interiors & Sons,2026-07-15,2026-07-15 21:59:01,NEFT
BNK000063,TXN627698351396,97022.67,Kapoor Logistics Enterprises,2026-06-05,2026-06-05 13:46:13,CARD
BNK000062,TXN948890607956,184773.06,Malhotra Fashions Enterprises,2026-07-09,2026-07-09 17:51:39,NEFT
BNK000112,TXN709445965738,198858.62,Nova Wellness & Sons,2026-06-17,2026-06-17 23:31:41,IMPS
BNK000123,TXN091494998388,84595.22,Pillai Commerce Pvt Ltd,2026-06-03,2026-06-03 04:08:33,IMPS
BNK000057,TXN142646035032,68200.53,Kapoor & Sons Pvt Ltd,2026-06-27,2026-06-27 11:34:07,CARD
BNK000030,TXN747664702635,85271.15,Mehta Automation Pvt Ltd,2026-07-04,2026-07-04 07:56:09,NEFT
BNK000077,TXN387619490111,205868.3,Malhotra & Sons,2026-06-29,2026-06-29 15:57:11,CARD
BNK000092,TXN493797887657,159825.12,Kapoor & Co,2026-06-15,2026-06-15 08:09:57,NEFT
