ledger_id,txn_id,amount,merchant_name,txn_date,txn_datetime,payment_mode,status
LDG000114,TXN115924164061,11384.37,Shiv Electronics LLP,2026-07-30,2026-07-30 23:34:52,CARD,POSTED
LDG000026,TXN713595939158,141079.58,Mehta Grocers LLP,2026-07-09,2026-07-09 17:43:43,UPI,POSTED
LDG000119,TXN864678855519,112550.51,Classic Foods & Sons,2026-06-14,2026-06-14 23:51:44,RTGS,POSTED
LDG000024,TXN789959560481,224516.33,Bose & Sons Pvt Ltd,2026-06-02,2026-06-02 15:48:41,IMPS,POSTED
LDG000105,TXN925586537760,140946.26,Sharma & Co,2026-07-08,2026-07-08 06:05:16,IMPS,POSTED
LDG000110,TXN919170792780,242023.42,Chatterjee Brothers,2026-07-23,2026-07-23 13:03:44,UPI,POSTED
LDG000000,TXN040250165258,159913.48,Shah & Co,2026-06-09,2026-06-09 23:07:42,CARD,POSTED
LDG000115,TXN342856565386,97370.77,Balaji Textiles Private Limited,2026-07-22,2026-07-22 16:51:34,RTGS,POSTED
LDG000027,TXN060444384115,193238.18,Reddy Mart Enterprises,2026-07-05,2026-07-05 16:34:19,RTGS,POSTED
LDG000003,TXN409572486117,172108.74,Verma & Co,2026-07-23,2026-07-23 02:33:27,RTGS,POSTED
LDG000090,TXN552326416987,119534.65,Balaji Handlooms & Sons,2026-06-29,2026-06-29 11:36:14,RTGS,POSTED
LDG000099,TXN323246338487,53088.81,Reddy Interiors & Sons,2026-07-15,2026-07-15 23:12:01,NEFT,POSTED
LDG000123,TXN400205540318,62746.81,Iyer Logistics Industries,2026-07-11,2026-07-11 11:04:42,NEFT,POSTED
LDG000064,TXN318781446242,127049.44,Agarwal Mart Enterprises,2026-07-27,2026-07-27 15:51:28,CARD,POSTED
LDG000137,TXN392416664840,231086.88,Chatterjee Timber Pvt Ltd,2026-06-25,2026-06-25 23:31:46,NEFT,POSTED
LDG000108,TXN134044402265,3273.97,Sunrise Motors,2026-06-11,2026-06-11 22:41:38,NEFT,POSTED
LDG000089,TXN703261664434,212833.33,Jai Commerce LLP,2026-07-17,2026-07-17 13:56:17,RTGS,POSTED
