gateway_id,gateway_txn_id,amount,merchant_name,settlement_date,settlement_datetime,payment_mode,gateway_status
GTW000041,TXN744441157107,138139.23,Classic Foods LLP,2026-07-02,2026-07-02 22:25:59,CARD,SETTLED
GTW000063,TXN304032690535,79180.54,Menon Brothers,2026-07-21,2026-07-21 09:49:29,UPI,SETTLED
GTW000040,TXN672594619621,164519.72,Verma & Co,2026-07-04,2026-07-04 09:07:15,IMPS,SETTLED
GTW000115,TXN919170792780,242023.42,Chatterjee Brothers,2026-07-23,2026-07-23 11:00:02,UPI,SETTLED
GTW000038,TXN507857154294,149657.05,Kulkarni Pharma Pvt Ltd,2026-06-06,2026-06-06 09:32:30,CARD,SETTLED
GTW000099,TXN181931987947,161565.37,Menon & Sons Pvt Ltd,2026-06-25,2026-06-25 06:29:17,CARD,SETTLED
GTW000017,TXN192147365352,69952.51,Rana Brothers,2026-06-02,2026-06-02 00:26:08,RTGS,SETTLED
GTW000010,103972677641,231687.02,Modern Timber Trading Co,2026-06-14,2026-06-14 10:02:15,UPI,SETTLED
GTW000079,TXN135519167685,56577.8,Rao Enterprises & Co,2026-06-13,2026-06-13 20:17:28,RTGS,SETTLED
GTW000005,TXN883089040771,134991.08,Sharma Fintech Trading Co,2026-06-02,2026-06-02 06:59:34,RTGS,SETTLED
GTW000153,TXN795939912373,146083.04,Jai Motors & Sons,2026-06-18,2026-06-18 14:24:38,UPI,SETTLED
GTW000068,TXN065039371912,177260.39,Chatterjee Commerce LLP,2026-07-13,2026-07-13 23:15:32,CARD,SETTLED
GTW000146,TXN042835025364,142959.82,Verma Exports & Sons,2026-07-22,2026-07-22 19:37:05,IMPS,SETTLED
GTW000091,TXN059498419369,132894.16,Jai Bakers Enterprises,2026-07-16,2026-07-16 16:12:21,NEFT,SETTLED
GTW000039,TXN362985433945,242314.53,Kulkarni Brothers,2026-07-13,2026-07-13 07:28:06,NEFT,SETTLED
GTW000043,TXN231557108629,176026.75,Sundar Wellness Pvt Ltd,2026-06-03,2026-06-03 12:38:04,UPI,SETTLED
GTW000013,TXN659182871223,219872.58,Classic Solutions & Co,2026-07-10,2026-07-10 21:44:44,UPI,SETTLED
GTW000096,TXN493797887657,159825.12,Kapoor & Co,2026-06-15,2026-06-15 00:39:31,NEFT,SETTLED
GTW000131,TXN711328316630,67030.94,Reddy Agro Industries,2026-07-29,2026-07-29 00:40:13,NEFT,SETTLED
GTW000061,TXN2553333,101442.65,Bharat Rdes Enterprises,2026-06-06,2026-06-06 14:48:29,UPI,SETTLED
GTW000109,TXN580502884009,94433.12,Sharma Distributors Private Limited,2026-07-02,2026-07-02 16:58:51,RTGS,SETTLED
GTW000152,TXN549531328709,50072.58,Shah Solutions Pvt Ltd,2026-06-25,2026-06-25 22:32:57,IMPS,SETTLED
GTW000080,TXN646294862004,7243.5,Chawla Pharma & Sons,2026-07-20,2026-07-20 22:13:26,CARD,SETTLED
GTW000133,TXN880966873984-S2,58205.65,Mehta Grocers Trading Co,2026-07-02,2026-07-02 12:42:45,UPI,SETTLED
GTW000044,TXN435642813425,159575.5,Sharma Rides & Co,2026-07-14,2026-07-14 16:42:42,UPI,SETTLED
GTW000021,TXN756202235126,226772.15,Prime Beverages & Co,2026-07-19,2026-07-19 04:12:42,RTGS,SETTLED
GTW000025,TXN789959560481-S3,107287.59,Bose & Sons Pvt Ltd,2026-06-02,2026-06-02 13:05:20,IMPS,SETTLED
GTW000064,TXN948890607956-S1,75416.3,Malhotra Fashions Enterprises,2026-07-09,2026-07-09 13:32:51,NEFT,SETTLED
GTW000150,TXN528009419830,35078.18,Maa Fashions Industries,2026-06-24,2026-06-24 21:50:06,UPI,SETTLED
GTW000114,TXN486536641337,34002.67,Kulkarni & Sons Pvt Ltd,2026-07-22,2026-07-22 10:48:13,RTGS,SETTLED
GTW000048,TXN366647610091,205724.09,Vertex Industries,2026-06-02,2026-06-02 20:27:31,CARD,SETTLED
GTW000014,TXN031914751961-S1,168268.63,Verma & Sons,2026-07-11,2026-07-11 14:30:46,RTGS,SETTLED
GTW000036,TXN100452277469,152539.27,Nova Hardware & Co,2026-07-13,2026-07-13 00:13:08,NEFT,SETTLED
GTW000107,TXN960540752564,58044.01,Ganesh Steel Trading Co,2026-06-24,2026-06-24 04:50:55,CARD,SETTLED
GTW000032,TXN747664702635,85271.15,Mehta Automation Pvt Ltd,2026-07-04,2026-07-04 09:39:28,NEFT,SETTLED
GTW000023,TXN789959560481-S1,52110.59,Bose & Sons Pvt Ltd,2026-06-02,2026-06-02 12:55:20,IMPS,SETTLED
GTW000028,TXN060444384115,193238.18,Reddy Mart Enterprises,2026-07-05,2026-07-05 14:00:24,RTGS,SETTLED
GTW000098,TXN503099090477,139831.6,Sharma & Sons Pvt Ltd,2026-06-17,2026-06-17 04:38:59,NEFT,SETTLED
