event_id,scenario,ledger_ids,gateway_ids,bank_ids,true_amount,notes
EVT000000,orphan,LDG000000,,BNK000000,159913.48,missing from gateway
EVT000001,timezone_shift,LDG000001,GTW000000,BNK000001,40082.84,
EVT000002,near_match_name,LDG000002,GTW000001,BNK000002,176191.54,
EVT000003,near_match_name,LDG000003,GTW000002,BNK000003,172108.74,
EVT000004,clean,LDG000004,GTW000003,BNK000004,146297.88,
EVT000005,clean,LDG000005,GTW000004,BNK000005,28858.59,
EVT000006,duplicate,LDG000006,GTW000005;GTW000006,BNK000006,134991.08,
EVT000007,clean,LDG000007,GTW000007,BNK000007,41459.24,
EVT000008,clean,LDG000008,GTW000008,BNK000008,14866.67,
EVT000009,clean,LDG000009,GTW000009,BNK000009,168487.43,
EVT000010,id_truncated,LDG000010,GTW000010,BNK000010,231687.02,
EVT000011,duplicate,LDG000011,GTW000011,BNK000011;BNK000012,144911.68,
EVT000012,clean,LDG000012,GTW000012,BNK000013,141403.32,
EVT000013,clean,LDG000013,GTW000013,BNK000014,219872.58,
EVT000014,split_settlement,LDG000014,GTW000014;GTW000015,BNK000015,213300.04,
EVT000015,clean,LDG000015,GTW000016,BNK000016,145704.66,
EVT000016,orphan,LDG000016,,BNK000017,6415.92,missing from gateway
EVT000017,clean,LDG000017,GTW000017,BNK000018,69952.51,
EVT000018,clean,LDG000018,GTW000018,BNK000019,664.63,
EVT000019,clean,LDG000019,GTW000019,BNK000020,43687.34,
EVT000020,clean,LDG000020,GTW000020,BNK000021,23577.25,
EVT000021,orphan,LDG000021,,BNK000022,215218.66,missing from gateway
EVT000022,clean,LDG000022,GTW000021,BNK000023,226772.15,
EVT000023,clean,LDG000023,GTW000022,BNK000024,16238.35,
EVT000024,split_settlement,LDG000024,GTW000023;GTW000024;GTW000025,BNK000025,224516.33,
EVT000025,id_truncated,LDG000025,GTW000026,BNK000026,53065.36,
EVT000026,near_match_name,LDG000026,GTW000027,BNK000027,141079.58,
EVT000027,clean,LDG000027,GTW000028,BNK000028,193238.18,
EVT000028,split_settlement,LDG000028,GTW000029;GTW000030,BNK000029,154127.04,
EVT000029,duplicate,LDG000029,GTW000031;GTW000032,BNK000030,85271.15,
EVT000030,timezone_shift,LDG000030,GTW000033,BNK000031,86136.67,
EVT000031,id_truncated,LDG000031,GTW000034,BNK000032,74202.73,
EVT000032,clean,LDG000032,GTW000035,BNK000033,100274.33,
EVT000033,clean,LDG000033,GTW000036,BNK000034,152539.27,
EVT000034,id_truncated,LDG000034,GTW000037,BNK000035,156386.46,
EVT000035,clean,LDG000035,GTW000038,BNK000036,149657.05,
EVT000036,clean,LDG000036,GTW000039,BNK000037,242314.53,
EVT000037,clean,LDG000037,GTW000040,BNK000038,164519.72,
EVT000038,clean,LDG000038,GTW000041,BNK000039,138139.23,
EVT000039,orphan,LDG000039,,BNK000040,85145.98,missing from gateway
EVT000040,orphan,LDG000040,,BNK000041,193924.32,missing from gateway
EVT000041,near_match_name,LDG000041,GTW000042,BNK000042,242339.52,
EVT000042,rounding_drift,LDG000042,GTW000043,BNK000043,176026.95,
EVT000043,clean,LDG000043,GTW000044,BNK000044,159575.5,
EVT000044,clean,LDG000044,GTW000045,BNK000045,248203.23,
EVT000045,clean,LDG000045,GTW000046,BNK000046,34333.62,
EVT000046,clean,LDG000046,GTW000047,BNK000047,236150.77,
EVT000047,duplicate,LDG000047,GTW000048;GTW000049,BNK000048,205724.09,
EVT000048,clean,LDG000048,GTW000050,BNK000049,34090.91,
EVT000049,clean,LDG000049,GTW000051,BNK000050,15305.31,
EVT000050,clean,LDG000050,GTW000052,BNK000051,69524.42,
EVT000051,clean,LDG000051,GTW000053,BNK000052,113105.93,
EVT000052,clean,LDG000052,GTW000054,BNK000053,95378.14,
EVT000053,clean,LDG000053,GTW000055,BNK000054,17005.35,
EVT000054,clean,LDG000054,GTW000056,BNK000055,53368.02,
EVT000055,id_truncated,LDG000055,GTW000057,BNK000056,77383.64,
EVT000056,split_settlement,LDG000056,GTW000058;GTW000059,BNK000057,68200.53,
EVT000057,id_truncated,LDG000057,GTW000060,BNK000058,72479.88,
EVT000058,near_match_name,LDG000058,GTW000061,BNK000059,101442.65,
EVT000059,near_match_name,LDG000059,GTW000062,BNK000060,239625.9,
EVT000060,clean,LDG000060,GTW000063,BNK000061,79180.54,
EVT000061,split_settlement,LDG000061,GTW000064;GTW000065,BNK000062,184773.06,
EVT000062,duplicate,LDG000062,GTW000066;GTW000067,BNK000063,97022.67,
EVT000063,clean,LDG000063,GTW000068,BNK000064,177260.39,
EVT000064,clean,LDG000064,GTW000069,BNK000065,127049.44,
EVT000065,orphan,LDG000065,,BNK000066,112367.87,missing from gateway
EVT000066,near_match_name,LDG000066,GTW000070,BNK000067,129062.34,
EVT000067,orphan,LDG000067,,BNK000068,162621.35,missing from gateway
EVT000068,id_truncated,LDG000068,GTW000071,BNK000069,155765.22,
EVT000069,clean,LDG000069,GTW000072,BNK000070,97751.54,
EVT000070,orphan,LDG000070,,BNK000071,158069.34,missing from gateway
EVT000071,near_match_name,LDG000071,GTW000073,BNK000072,92188.06,
EVT000072,id_truncated,LDG000072,GTW000074,BNK000073,106683.29,
EVT000073,clean,LDG000073,GTW000075,BNK000074,59176.87,
EVT000074,timezone_shift,LDG000074,GTW000076,BNK000075,65580.77,
EVT000075,rounding_drift,LDG000075,GTW000077,BNK000076,178087.81,
EVT000076,near_match_name,LDG000076,GTW000078,BNK000077,205868.3,
EVT000077,clean,LDG000077,GTW000079,BNK000078,56577.8,
EVT000078,timezone_shift,LDG000078,GTW000080,BNK000079,7243.5,
EVT000079,clean,LDG000079,GTW000081,BNK000080,85161.22,
EVT000080,timezone_shift,LDG000080,GTW000082,BNK000081,180342.79,
EVT000081,split_settlement,LDG000081,GTW000083;GTW000084,BNK000082,220704.02,
EVT000082,rounding_drift,LDG000082,GTW000085,BNK000083,188797.71,
EVT000083,clean,LDG000083,GTW000086,BNK000084,177258.68,
EVT000084,timezone_shift,LDG000084,GTW000087,BNK000085,60719.68,
EVT000085,clean,LDG000085,GTW000088,BNK000086,115049.78,
EVT000086,clean,LDG000086,GTW000089,BNK000087,135954.68,
EVT000087,duplicate,LDG000087,GTW000090;GTW000091,BNK000088,132894.16,
EVT000088,timezone_shift,LDG000088,GTW000092,BNK000089,58243.13,
EVT000089,timezone_shift,LDG000089,GTW000093,BNK000090,212833.33,
EVT000090,clean,LDG000090,GTW000094,BNK000091,119534.65,
EVT000091,duplicate,LDG000091,GTW000095;GTW000096,BNK000092,159825.12,
EVT000092,clean,LDG000092,GTW000097,BNK000093,175993.73,
EVT000093,clean,LDG000093,GTW000098,BNK000094,139831.6,
EVT000094,rounding_drift,LDG000094,GTW000099,BNK000095,161564.62,
EVT000095,rounding_drift,LDG000095,GTW000100,BNK000096,205891.5,
EVT000096,near_match_name,LDG000096,GTW000101,BNK000097,58721.51,
EVT000097,rounding_drift,LDG000097,GTW000102,BNK000098,106935.07,
EVT000098,clean,LDG000098,GTW000103,BNK000099,60848.13,
EVT000099,clean,LDG000099,GTW000104,BNK000100,53088.81,
EVT000100,clean,LDG000100,GTW000105,BNK000101,80180.11,
EVT000101,clean,LDG000101,GTW000106,BNK000102,122303.63,
EVT000102,clean,LDG000102,GTW000107,BNK000103,58044.01,
EVT000103,rounding_drift,LDG000103,GTW000108,BNK000104,45030.89,
EVT000104,clean,LDG000104,GTW000109,BNK000105,94433.12,
EVT000105,clean,LDG000105,GTW000110,BNK000106,140946.26,
EVT000106,rounding_drift,LDG000106,GTW000111,BNK000107,86572.67,
EVT000107,clean,LDG000107,GTW000112,BNK000108,178025.76,
EVT000108,id_truncated,LDG000108,GTW000113,BNK000109,3273.97,
EVT000109,clean,LDG000109,GTW000114,BNK000110,34002.67,
EVT000110,clean,LDG000110,GTW000115,BNK000111,242023.42,
EVT000111,near_match_name,LDG000111,GTW000116,BNK000112,198858.62,
EVT000112,rounding_drift,LDG000112,GTW000117,BNK000113,228623.83,
EVT000113,split_settlement,LDG000113,GTW000118;GTW000119,BNK000114,115913.28,
EVT000114,clean,LDG000114,GTW000120,BNK000115,11384.37,
EVT000115,clean,LDG000115,GTW000121,BNK000116,97370.77,
EVT000116,split_settlement,LDG000116,GTW000122;GTW000123;GTW000124,BNK000117,176570.45,
EVT000117,split_settlement,LDG000117,GTW000125;GTW000126;GTW000127,BNK000118,35234.14,
EVT000118,id_truncated,LDG000118,GTW000128,BNK000119,56355.58,
EVT000119,duplicate,LDG000119,GTW000129;GTW000130,BNK000120,112550.51,
EVT000120,clean,LDG000120,GTW000131,BNK000121,67030.94,
EVT000121,split_settlement,LDG000121,GTW000132;GTW000133;GTW000134,BNK000122,192295.88,
EVT000122,split_settlement,LDG000122,GTW000135;GTW000136,BNK000123,84595.22,
EVT000123,clean,LDG000123,GTW000137,BNK000124,62746.81,
EVT000124,near_match_name,LDG000124,GTW000138,BNK000125,119525.67,
EVT000125,rounding_drift,LDG000125,GTW000139,BNK000126,110701.51,
EVT000126,duplicate,LDG000126,GTW000140;GTW000141,BNK000127,73996.4,
EVT000127,clean,LDG000127,GTW000142,BNK000128,17048.96,
EVT000128,orphan,LDG000128,GTW000143,,190906.33,missing from bank
EVT000129,clean,LDG000129,GTW000144,BNK000129,205678.67,
EVT000130,id_truncated,LDG000130,GTW000145,BNK000130,223649.74,
EVT000131,clean,LDG000131,GTW000146,BNK000131,142959.82,
EVT000132,clean,LDG000132,GTW000147,BNK000132,123492.49,
EVT000133,orphan,LDG000133,GTW000148,,243158.09,missing from bank
EVT000134,orphan,LDG000134,,BNK000133,78934.28,missing from gateway
EVT000135,orphan,LDG000135,GTW000149,,171642.81,missing from bank
EVT000136,timezone_shift,LDG000136,GTW000150,BNK000134,35078.18,
EVT000137,rounding_drift,LDG000137,GTW000151,BNK000135,231086.88,
EVT000138,orphan,LDG000138,GTW000152,,50072.58,missing from bank
EVT000139,clean,LDG000139,GTW000153,BNK000136,146083.04,
